Player,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score
Larry Nance Jr.,C,31,61.0,19.9,57.85,59.5,54.76,29.74,51.87
Dean Wade,PF,27,54.0,20.5,44.13,55.95,56.24,52.77,51.84
Josh Green,SG,23,57.0,26.4,48.48,42.39,64.21,53.21,51.84
John Konchar,SF,27,55.0,21.3,33.24,69.36,56.39,50.85,51.58
Haywood Highsmith,PF,27,66.0,20.7,48.61,45.93,57.43,54.87,51.4
Dyson Daniels,PG,20,61.0,22.3,37.28,62.43,60.02,46.91,51.18
Josh Richardson,SG,30,43.0,25.7,57.73,40.39,67.25,34.67,51.16
Gordon Hayward,SF,33,38.254901960784316,24.402941176470588,52.18,51.27,64.32,32.97,51.15
Christian Braun,SG,22,82.0,20.2,51.55,44.86,57.17,50.77,51.13
Royce O'Neale,SF,30,60.392405063291136,24.71392405063291,37.17,59.98,66.04,42.28,51.11
Nicolas Batum,PF,35,57.15,25.5025,40.96,55.46,64.63,43.16,50.94
Kyle Lowry,PG,37,45.81666666666667,28.176666666666666,41.88,47.31,70.91,43.86,50.89
Amir Coffey,SF,26,70.0,20.9,57.08,34.37,56.86,53.59,50.65
Kevon Looney,C,27,74.0,16.1,54.29,48.25,49.5,48.75,50.47
Killian Hayes,PG,22,42.0,24.0,35.42,51.48,69.45,47.06,50.27
